ordnance points,min crew,max crew,number,mass,max turn rate,turn acceleration,deceleration,flux dissipation,max speed,armor rating,acceleration,max flux,hitpoints,name,tech/manufacturer,shield type,id,system id,designation,fleet pts,8/6/5/4%,fighter bays,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,travel drive
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,3,35,180,360,400,100,200,100,400,300,200,Snap Drone,,NONE,diableavionics_warlust_drone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,3,55,180,360,400,100,200,125,400,300,300,Vortex Drone,,NONE,diableavionics_vortex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1,1,100,10,180,360,75,100,250,50,250,400,300,Arbitrator,Diable Avionics,NONE,diableavionics_arbitrator,diableavionics_booster,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
0,2,2,100,10,90,180,75,150,200,75,150,400,350,Arbitrator Z,Diable Avionics,NONE,diableavionics_arbitratorZ,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,6,50,90,180,250,150,200,100,250,500,800,Frost,Diable Avionics,NONE,diableavionics_frost,diableavionics_slash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,8,55,90,90,180,200,180,175,180,750,1300,Strife,Diable Avionics,NONE,diableavionics_strife,diableavionics_dakka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,8,55,90,180,240,200,250,75,320,750,1000,Hoar,Diable Avionics,NONE,diableavionics_hoar,diableavionics_kata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,7,60,90,180,150,150,150,125,150,500,1200,Warlust,Diable Avionics,NONE,diableavionics_warlust,diableavionics_warlust_drone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,4,4,7,55,70,100,125,150,190,200,200,500,1500,Avalanche,Diable Avionics,NONE,diableavionics_avalanche,diableavionics_berserk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,6,6,11,70,50,75,75,100,155,150,150,500,1600,Blizzaia,Diable Avionics,NONE,diableavionics_blizzaia,flarelauncher_active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,9,45,90,180,200,200,160,75,200,1200,800,Valiant,Diable Avionics,OMNI,diableavionics_valiant,diableavionics_transit,,,,,,120,0.5,1,,,,,,,,,,,,,,,,,,,,,
0,6,6,10,75,50,50,80,250,120,300,120,1250,1750,Raven,Diable Avionics,NONE,diableavionics_raven,diableavionics_flicker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,5,5,9,65,75,150,150,300,165,100,240,1200,1000,Zephyr,Diable Avionics,OMNI,diableavionics_zephyr,diableavionics_splitter,,,,,,120,0.5,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,3,9,45,90,180,200,200,160,75,200,1200,800,Valiant,Diable Avionics,OMNI,diableavionics_valiantTrainer,diableavionics_transitTrainer,Trainer,,,,,120,0.5,1,,,,,,,,,,,,,,,HIDE_IN_CODEX,restricted,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,25,35,13,275,60,60,60,190,120,300,90,1500,3000,Draft,Diable Avionics,NONE,diableavionics_draft,diableavionics_draftrepairs,Frigate,4,,,,0,0,0,,,50,25,1,,10,8000,7,15,300,0.2,4,4,SHIP_WITH_MODULES,diable_ship_bp,,0.25,2,2,
0,,,4,125,200,400,400,0,400,600,400,0,4000,Arcus,,NONE,diableavionics_draftarmormodule,,,,,,,,0,0,,,,,,,,,,,,,0,0,HIDE_IN_CODEX,module_hull_bar_only,,,,,
50,20,30,14,150,100,80,110,225,175,200,130,3000,1500,Vapor,Diable Avionics,OMNI,diableavionics_vapor,diableavionics_evasion,Frigate,6,,,,120,0.5,1,,,35,30,1,,10,15000,10,20,210,0.2,6,6,,"diable_ship_bp,rare_bp",,0.5,2,2,
50,30,40,14,200,80,80,100,150,140,250,120,3000,2000,Sleet,Diable Avionics,OMNI,diableavionics_sleet,diableavionics_capacitors,Frigate,5,,,,180,0.4,0.8,,,80,35,1,,10,13000,8,16,240,0.2,5,5,,"diable_ship_bp,rare_bp",,0.5,2,2,
15,5,5,15,160,60,30,100,75,135,125,100,750,450,Shear,Diable Avionics,FRONT,diableavionics_shear,flarelauncher,Tug,2,,,,50,0.4,1.1,,,0,10,5,,8,17000,10,30,180,0.2,5,5,CIVILIAN,diable_ship_bp,,0.3,2,2,
